err,prob,
0.0492674,0.00445811,
0.0493602,0.00447608,
0.0493759,0.00449406,
0.0495176,0.00451204,
0.0495881,0.00453001,
0.0496873,0.00454799,
0.0498026,0.00456596,
0.0499519,0.00458394,
0.0500009,0.00460192,
0.0506705,0.00461989,
0.0507482,0.00463787,
0.0507973,0.00465584,
0.0515129,0.00467382,
0.0518072,0.0046918,
0.0522361,0.00470977,
0.0522927,0.00472775,
0.0528639,0.00474573,
0.0530843,0.0047637,
0.053431,0.00478168,
0.0539555,0.00479965,
0.0543276,0.00481763,
0.0546906,0.00483561,
0.0550192,0.00485358,
0.0551586,0.00487156,
0.0552898,0.00488954,
0.0552932,0.00490751,
0.0555564,0.00492549,
0.0555923,0.00494346,
0.0562538,0.00496144,
0.056828,0.00497942,
0.056894,0.00499739,
0.0569326,0.00501537,
0.0569521,0.00503335,
0.056983,0.00505132,
0.0570468,0.0050693,
0.0572135,0.00508727,
0.0575886,0.00510525,
0.0579397,0.00512323,
0.0580392,0.0051412,
0.0587926,0.00515918,
0.0588386,0.00517716,
0.0588874,0.00519513,
0.059077,0.00521311,
0.0594521,0.00523108,
0.059749,0.00524906,
0.0598079,0.00526704,
0.0599198,0.00528501,
0.0603682,0.00530299,
0.0604528,0.00532097,
0.0605999,0.00533894,
0.060641,0.00535692,
0.0606433,0.00537489,
0.0610689,0.00539287,
0.0614693,0.00541085,
0.061626,0.00542882,
0.0618137,0.0054468,
0.062151,0.00546478,
0.0621783,0.00548275,
0.0626686,0.00550073,
0.0626793,0.0055187,
0.0628238,0.00553668,
0.0629583,0.00555466,
0.0633515,0.00557263,
0.0634079,0.00559061,
0.0634314,0.00560859,
0.0636056,0.00562656,
0.0636469,0.00564454,
0.0641663,0.00566251,
0.0642635,0.00568049,
0.0645177,0.00569847,
0.0645446,0.00571644,
0.0645485,0.00573442,
0.0647601,0.0057524,
0.0649709,0.00577037,
0.0654934,0.00578835,
0.0655509,0.00580632,
0.0656409,0.0058243,
0.0657132,0.00584228,
0.065857,0.00586025,
0.0658798,0.00587823,
0.0666996,0.00589621,
0.0671805,0.00591418,
0.0672393,0.00593216,
0.068692,0.00595013,
0.069329,0.00596811,
0.0698404,0.00598609,
0.0700141,0.00600406,
0.070124,0.00602204,
0.0701708,0.00604002,
0.0705746,0.00605799,
0.0708026,0.00607597,
0.0708496,0.00609394,
0.0709618,0.00611192,
0.0710002,0.0061299,
0.0710878,0.00614787,
0.07128,0.00616585,
0.0717667,0.00618382,
0.0717831,0.0062018,
0.0720055,0.00621978,
0.0722748,0.00623775,
0.0724112,0.00625573,
0.0727739,0.00627371,
0.0728461,0.00629168,
0.0728715,0.00630966,
0.0729923,0.00632763,
0.0735292,0.00634561,
0.0736243,0.00636359,
0.0738669,0.00638156,
0.0739915,0.00639954,
0.0746731,0.00641752,
0.0748947,0.00643549,
0.0749973,0.00645347,
0.0751594,0.00647144,
0.0753396,0.00648942,
0.0756557,0.0065074,
0.0756786,0.00652537,
0.0757259,0.00654335,
0.0758161,0.00656133,
0.0758847,0.0065793,
0.0759169,0.00659728,
0.0759795,0.00661525,
0.0761647,0.00663323,
0.0765647,0.00665121,
0.0768175,0.00666918,
0.0772033,0.00668716,
0.0773489,0.00670514,
0.0776245,0.00672311,
0.0779427,0.00674109,
0.0779823,0.00675906,
0.0781428,0.00677704,
0.0786915,0.00679502,
0.0787498,0.00681299,
0.0789789,0.00683097,
0.079117,0.00684895,
0.0792352,0.00686692,
0.0793898,0.0068849,
0.0798222,0.00690287,
0.0798271,0.00692085,
0.0802279,0.00693883,
0.0802322,0.0069568,
0.0805281,0.00697478,
0.0806372,0.00699276,
0.0807243,0.00701073,
0.0812155,0.00702871,
0.0819522,0.00704668,
0.0821401,0.00706466,
0.0821424,0.00708264,
0.0821744,0.00710061,
0.082331,0.00711859,
0.0825867,0.00713657,
0.0826212,0.00715454,
0.0827751,0.00717252,
0.0831735,0.00719049,
0.0831781,0.00720847,
0.0834986,0.00722645,
0.0835439,0.00724442,
0.0835921,0.0072624,
0.0837653,0.00728038,
0.0839619,0.00729835,
0.0840381,0.00731633,
0.0842152,0.0073343,
0.084408,0.00735228,
0.0846214,0.00737026,
0.0850703,0.00738823,
0.0851681,0.00740621,
0.085264,0.00742419,
0.0854462,0.00744216,
0.0857301,0.00746014,
0.085833,0.00747811,
0.0858492,0.00749609,
0.0860141,0.00751407,
0.0869588,0.00753204,
0.0871723,0.00755002,
0.0871995,0.007568,
0.0872263,0.00758597,
0.087432,0.00760395,
0.0877015,0.00762192,
0.0880286,0.0076399,
0.0880342,0.00765788,
0.0882369,0.00767585,
0.0883767,0.00769383,
0.0885243,0.0077118,
0.0885734,0.00772978,
0.0889644,0.00774776,
0.0892085,0.00776573,
0.0895304,0.00778371,
0.0898348,0.00780169,
0.0898375,0.00781966,
0.0900247,0.00783764,
0.0908655,0.00785561,
0.090938,0.00787359,
0.0911469,0.00789157,
0.0913074,0.00790954,
0.0913423,0.00792752,
0.0913829,0.0079455,
